SMILES,T_g (K)
C=CC(=O)NCCc1ccccc1OC,318.9829616856099
C=C(C)C(=O)NCCC#N,278.547181170596
C=CC(=O)NC(C)(C)CC(C)(C)C,250.28938588264623
C=C(C)C(=O)NC(C)c1ccc(C)cc1C,311.69271680626406
C=CC(=O)N1CCC(COc2ccccc2C(=O)N2CCCC2)CC1,384.6658075711652
C=C(C)C(=O)Nc1ccc(OCC)c(OCC)c1,360.9331332390899
C=C(C)C(=O)N1CCC(c2nc3ccccc3[nH]2)CC1,380.1478485448925
C=CC(=O)N1CCc2sccc2C1C(=O)O,371.7223247808828
C=C(C)C(=O)NCC1CCN(C(=O)C(F)(F)F)CC1,313.9833398335042
C=CC(=O)N1CCCCC1C(=O)OCC,286.9290736911651
C=CC(=O)NCC(F)(F)CNC(=O)OC(C)(C)C,345.5093252512818
C=C(C)C(=O)NC(=O)OCCOc1c(Br)cc(S(=O)(=O)c2cc(Br)c(OCCO)c(Br)c2)cc1Br,373.1580157768555
C=CC(=O)N1CCC2(CC1)CN(Cc1cccc(OC)c1)CCO2,377.3335385501225
C=C(C)C(=O)NCc1ccc(NC(=O)c2ccc(OC(=O)OCC)cc2)cc1,375.6210382112284
C=CC(=O)Nc1ccc(Cl)c(C(=O)NC)c1,400.07003942622015
C=CC[Si](CC=C)(CC=C)CCCOC(=O)C=C,217.41074032779423
C=CC(=O)NCCCN1CCN(CCC)CC1,329.5948206497612
C=CC(=O)NC(C)c1ccc(OC)cc1OC,345.7423110764947
C=CC(=O)NC1(C(=O)OC)CCCCC1,328.4437214223399
C=CC(=O)Oc1ccccc1OCC,289.4909291033516
C=C(C)C(=O)N(Cc1ccccc1)Cc1ccccc1,358.07114458223566
C=CC(=O)NC1CC(=O)N(c2ccc(Oc3ccccc3)cc2)C1,365.7253614502111
C=CC(=O)Nc1cnn(CC(=O)OC)c1,347.0697616801597
C=CC(=O)N1CCC1=O,264.2160112210412
C=CC(=O)N(CCc1ccc(Cl)cc1)CC(O)C(F)(F)F,358.254330009393
C=CC(=O)N1CCCCCC1C,268.58282226088164
C=CC(=O)NC(C)CC1CC1,246.70792445168172
C=CC(=O)N1CCCC(CNC(N)=O)C1,367.12260242626985
C=CC(=O)NCCCC[C@H](N)C(=O)O,344.59623308876826
C=C(C)C(=O)NCCC(C)C,246.12186212033183
C=C(C)C(=O)N(CCC)CCC,242.93884238690708
C=CC(=O)Nc1ccc(OC)c(OC(F)F)c1,327.2194723159611
C=CC(=O)Nc1cc(C(=O)O)cc(C(=O)O)c1,350.59869491858944
C=C(C)C(=O)NCc1ccc(-c2nc(-c3ccc(OC)c(OC)c3)cs2)cc1,380.36014391236927
C=C(C)C(=O)N1CCC(NC(=O)c2cccc(OC(C)=O)c2)CC1,408.31242297786366
C=CC(=O)N(C)Cc1ccc(N2CCCCCC2)cc1,339.02271135795024
C=CC(=O)Nc1cc(C2CC2)nn1C1CCS(=O)(=O)C1,328.32045016045214
C=C(C)C(=O)NCC(C)C,241.1004304513331
C#CCOCCOC(=O)C=C,260.1896780429877
C=C(C)C(=O)Nc1cc(F)ccc1F,255.20647092573225
C=CC(=O)N1CCCC(n2nc(C(=O)Nc3ccc(CC(=O)N(C)C)c(C)c3C)c3c(N)ncnc32)C1,367.53913112731254
C=CC(=O)OCCCN(C)C,239.24456535636577
C=CC(=O)Nc1cccc(F)c1F,274.99540643859154
C=CC(=O)N(Cc1ccc(C)cc1)C1CCCCC1,346.938946284741
C=CC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,327.3529122326569
C=CC(=O)N(CCO)Cc1ccccc1,328.08663329333064
C=CC(=O)N1CC(CC(=O)O)C1,312.20961056599424
C=CC(=O)NC(C#N)CCOC(C)C,302.1675355117677
C=C(C)C(=O)N1CCC(c2nc3ccc(C)cc3[nH]2)CC1,376.6733817724699
C=CC(=O)N1CCCC1c1nccnc1Nc1nccs1,394.29944476831633
C=CC(=O)Nc1ccc(OCC)c(OCC)c1,368.7437375825813
C=CC(=O)NOCC(=C)C,267.35957275052874
C=CC(=O)N1CCOc2ncccc2C1,381.5042721389061
C=CC(=O)Nc1cc(N)ccc1F,340.8486646982131
C=C(C)C(=O)OCCCCCCCCCCOc1ccc(N=Nc2ccc(C#N)cc2)cc1,318.0361255638862
C=C(C)C(=O)Nc1ccc(-n2cnc(Cl)c2Cl)nc1,363.6925377943443
C=CC(=O)NC(c1ccc(Br)cc1)c1nccn1C,380.8520283443305
C=CC(=O)N(CCC(C)C)C1CC1,247.23613608386648
C=C(C)C(=O)N1CCC(c2nc(C)ncc2C(=O)NCc2cccc(C(=O)OC)c2)CC1,402.1675837751538
C#CCN(C(=O)C=C)C1CCS(=O)(=O)C1,345.5591932022804
C=C(C)C(=O)Nc1ccc(CN(C)C)cc1,316.9177473810836
C=CC(=O)N(C)[C@H]1c2ccccc2N(C(=O)OC(C)(C)C)C[C@@H]1O,398.0501331187419
C=CC(=O)NC(CO)(CO)CO,287.5257265749473
C=CC(=O)NC[C@@H](C)N(CC)C(=O)OC(C)(C)C,334.7264289289115
C=C(C)C(=O)OC1CC2(C)OC(=CC2=O)C(=C)CC2OC(=O)C(COC)C12,387.8342381005054
C=CC(=O)OCCO,224.7852625685183
C=C(C)C(=O)OCCCCCCCC(C)C,231.21789501734432
C=CC(=O)NC(N)=O,319.7051267089587
C=CC(=O)NCCCN1CCC(N2CCCCC2)CC1,341.7697608943347
C#CC(CC)NC(=O)C=C,272.8492652864089
C=CC(=O)N1CCn2cc(C(=O)NCCc3cccc(C(=O)OC)c3)nc2C1c1ccccc1,338.1021360008541
C=CC(=O)N1CCOC(c2ccc(Cl)cc2)C1,347.87523533476724
C#CC(C)(CC)NC(=O)C=C,255.0907914998617
C=CC(=O)N(CCCC)C1CCS(=O)(=O)C1,327.8050659817515
C=CC(=O)NCc1ccccc1COCC,310.7974863685164
C=CC(=O)N1c2c(OCC)cccc2-c2c(ssc2=S)C1(C)C,374.55843278149024
C=CC(=O)NCOCC(C)C,276.51432362089247
C=C(C)C(=O)N1CC(C)OC(C)C1,300.20254564993957
C=C(C)C(=O)N(CCN(C)C)C1CCS(=O)(=O)C1,349.7952174436078
C=CC(=O)NC[C@H](C)O,290.45655127579414
C=C(C)C(=O)ONC(=O)OC(C)(C)C,334.3586469148922
C=CNC(=O)C=C,265.6004073307114
C=CC(=O)NCC(C)(C)c1cccs1,278.6016985349079
C=CC(=O)N1CCN(C)CC1,288.6722420709662
C=CC(=O)NCCC(O)(c1nccn1C)C(F)(F)F,352.4392020882224
C=C(C)C(=O)OCCN(C)C,227.2777526165795
C=CC(=O)Nc1ccc2[nH]c(=O)n(C3CCN(Cc4ccc(-c5nc6cc[nH]c(=O)c6cc5-c5ccccc5)cc4)CC3)c2c1,310.3156193609867
C=C(C)C(=O)NCc1cccc(NC(=O)c2cccnc2)c1,380.1961360258333
C=C(C)C(=O)N(C=O)CCCN,315.44682183475953
C=CC(=O)NCCCNC(=O)c1cccc(OC(C)=O)c1,366.78991207651296
C=CC(=O)Nc1ncc(C)s1,319.7426043286505
C=CCCCN(C)C(=O)C=C,253.32852587899924
C=CC1(OC(=O)C(=C)C)CCCC1,233.2665772605033
C=CC(=O)Nc1ccc(C#N)c(F)c1,320.6790106659432
C=CC(=O)N1CCN(Cc2ccc(OCC)c(OC)c2)CC1,363.00346473157293
C=CC(=O)Nc1ccc2oc(CCC)nc2c1,336.50574434160126
C=CC(=O)OC(C)(C)C(=O)O,321.5767783064771
C=CC(=O)NCCCCCCCCC=CCCCCCCCC,252.62479101013705
C=CC(=O)NC1(C(F)(F)F)C(=O)N(CC(C)C)C2=C1C(=O)CC(C)(C)C2,382.96820760506887
C=CC(=O)Nc1nc(C)c(C)s1,331.6765492432652
C=CC(=O)N1CCc2c(N)cccc2C1,374.6101951116474
C=CC(=O)N1CCCCC1,251.9119164347632
C=CC(=O)Nc1ccc(C(=O)OCC)cc1,341.4757696189638
CCCCCCCO,280.08814063801367
C=CC(=O)N1CCC(OC)CC1,283.30266554160045
C=CC(=O)NCC1(C)CCCO1,262.3898646727122
C=CC(=O)N(c1ccccc1)C(C#N)c1ccccc1OCc1ccccc1,400.66694478493514
C=CC(=O)Nc1ccccc1CO,300.90901918593835
C=CC(=O)NCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,300.4448938969623
C=CC(=O)NC1CC(C)(C)NC(C)(C)C1,321.43096138940155
